Month,Year,Index of Consumer Sentiment,Better Financial Situation Compared with a Year Ago,Same Financial Situation Compared with a Year Ago,Worse Financial Situation Compared with a Year Ago,Expected Better Off financial situation in a year, Expected Same financial situation in a year,Expected Worse financial situation in a year,Less Unemployment ,Same  Unemployment ,More Unemployment , Interest Rates Go Up, Interest Rates Stay the Same, Interest Rates Go Down,Prices Down,Prices Same,Prices Up by 1-2%,Prices Up by 3-4%,Prices Up by 5%,Prices Up by 6-9%,Prices Up by 10-14%,Prices Up by 15%+,Prices Up; DK how much,Good time to buy Large Household Goods,Bad time to buy  Large Household Goods,Good time to Buy Vehicles,Bad time to Buy Vehicles,Good time to Buy  Houses,Bad time to Buy  Houses,Good Times financially,Bad Times  financially,Inflation 
1,1997,97.4,41,33,25,40,46,12,17,51,31,58,30,10,1,10,25,28,16,4,6,3,6,76,160,65,24,78,16,61,25,5.2
2,1997,99.7,40,33,26,44,43,10,18,56,25,52,36,10,1,13,22,29,15,4,5,3,7,78,164,61,31,82,16,60,25,6.4
3,1997,100,45,28,26,41,51,7,15,57,27,65,26,7,2,15,24,26,12,6,6,2,7,79,166,64,29,76,21,62,24,6.3
4,1997,101.4,52,28,20,40,48,10,15,55,28,73,20,5,2,12,23,27,15,4,7,2,7,78,167,63,27,74,21,58,28,6.7
5,1997,103.2,44,34,22,46,44,8,16,57,25,68,27,3,2,10,24,33,12,4,6,3,6,82,173,71,21,79,19,65,23,6.9
6,1997,104.5,48,30,22,37,54,6,14,62,22,63,29,6,1,12,26,27,14,3,6,2,8,78,168,74,20,78,18,68,21,6.5
7,1997,107.1,49,32,19,40,51,7,19,57,23,56,31,10,2,13,26,25,14,3,5,1,9,77,166,63,27,80,15,69,18,6.6
8,1997,104.4,45,31,24,44,48,6,16,59,23,53,35,7,1,14,26,26,12,2,4,3,10,78,167,63,24,81,15,68,18,8.7
9,1997,106,48,30,21,45,47,7,19,57,22,54,35,7,1,13,26,26,14,5,4,2,8,80,170,67,24,84,12,68,19,6.9
10,1997,105.6,45,33,21,42,49,6,20,57,20,56,33,8,2,16,24,25,14,3,5,1,9,73,161,64,23,78,14,72,18,7.4
11,1997,107.2,49,31,19,44,47,6,15,61,23,52,35,9,2,12,24,25,17,4,5,2,8,80,169,66,26,79,16,69,18,7.5
12,1997,102.1,43,37,20,43,48,7,18,49,32,54,33,11,2,17,22,19,19,4,6,2,9,78,166,62,27,78,17,63,21,7.3
1,1998,106.6,44,36,20,47,44,6,18,55,24,45,37,15,5,23,23,19,12,4,4,2,7,79,171,65,20,83,11,66,18,7.8
2,1998,110.4,57,28,15,49,45,4,20,59,19,45,37,13,4,20,21,20,13,1,3,1,15,79,170,68,19,81,11,70,15,9.3
3,1998,106.5,48,32,20,41,51,7,20,58,20,42,41,13,3,21,21,21,10,3,7,1,12,76,167,65,19,86,10,72,14,8.8
4,1998,108.7,50,31,19,44,47,6,19,63,16,45,40,10,3,21,23,19,14,3,4,1,10,77,169,65,20,87,9,74,12,9.7
5,1998,106.5,49,32,19,39,53,5,19,60,21,55,36,6,1,16,26,19,15,4,6,1,11,76,166,68,20,83,11,71,13,9.8
6,1998,105.6,50,30,20,40,50,6,21,51,26,54,32,10,2,15,24,21,15,3,6,2,11,76,170,69,17,83,12,69,19,9.9
7,1998,105.2,51,29,19,45,47,6,15,58,26,49,39,8,2,15,26,20,14,5,5,1,10,72,162,62,23,83,14,65,20,9.9
8,1998,104.4,52,28,20,44,47,5,17,56,26,53,33,10,3,16,28,19,15,2,5,0,10,73,163,66,16,83,13,65,19,9.9
